"info","value","subject"
"otherlg","none","S[1]"
"language","english","S[1]"
"comp","pc","S[1]"
"geo","NC%2C usa","S[1]"
"gender","female","S[1]"
"age","27","S[1]"
"age","46","S[2]"
"gender","Female","S[2]"
"geo","Colorado%2C USA","S[2]"
"comp","Mac","S[2]"
"language","English","S[2]"
"otherlg","none","S[2]"
"otherlg","","S[3]"
"language","English","S[3]"
"comp","Mac","S[3]"
"geo","CA%2C USA","S[3]"
"gender","male","S[3]"
"age","30","S[3]"
"otherlg","","S[4]"
"language","English","S[4]"
"comp","PC","S[4]"
"geo","-","S[4]"
"gender","Female","S[4]"
"age","29","S[4]"
"age","48","S[5]"
"geo","AL%2C USA","S[5]"
"gender","female","S[5]"
"comp","Laptop PC","S[5]"
"otherlg","","S[5]"
"language","english","S[5]"
"language","English","S[6]"
"comp","Mac","S[6]"
"geo","California%2C USA","S[6]"
"gender","Female","S[6]"
"age","27","S[6]"
"otherlg","Spanish","S[6]"
"language","English","S[7]"
"comp","PC","S[7]"
"geo","CA%2C USA","S[7]"
"gender","female","S[7]"
"age","41","S[7]"
"otherlg","N/A","S[7]"
"language","English","S[8]"
"comp","Mac","S[8]"
"geo","Minnesota%2C USA","S[8]"
"gender","female","S[8]"
"age","25","S[8]"
"otherlg","Spanish","S[8]"
"comp","PC","S[9]"
"geo","KY%2C USA","S[9]"
"gender","Female","S[9]"
"age","49","S[9]"
"otherlg","none","S[9]"
"language","English","S[9]"
"gender","Female","S[10]"
"age","32","S[10]"
"otherlg",NA,"S[10]"
"language","English","S[10]"
"comp","Mac","S[10]"
"geo","Colorado%2C USA","S[10]"
"age","46","S[11]"
"geo","KY USA","S[11]"
"gender","Female","S[11]"
"language","english","S[11]"
"comp","laptop","S[11]"
"otherlg","N/A","S[11]"
"language","English","S[12]"
"comp","PC","S[12]"
"geo","Florida","S[12]"
"gender","Male","S[12]"
"age","26","S[12]"
"otherlg","None","S[12]"
"geo","United States","S[13]"
"gender","Woman","S[13]"
"age","32","S[13]"
"otherlg","","S[13]"
"language","English","S[13]"
"comp","PC","S[13]"
"geo","MS%2C US","S[14]"
"gender","female","S[14]"
"age","47","S[14]"
"otherlg","n/a","S[14]"
"language","English","S[14]"
"comp","PC","S[14]"
"comp","Mac Laptop","S[15]"
"geo","OK%2C USA","S[15]"
"gender","Female","S[15]"
"age","47","S[15]"
"otherlg","","S[15]"
"language","English","S[15]"
"age","37","S[16]"
"otherlg","","S[16]"
"language","English","S[16]"
"comp","PC","S[16]"
"geo","FL%2C USA","S[16]"
"gender","male","S[16]"
"age","50","S[17]"
"comp","PC","S[17]"
"geo","Georgia%2C USA","S[17]"
"gender","male","S[17]"
"otherlg","","S[17]"
"language","English","S[17]"
"age","28","S[18]"
"comp","PC","S[18]"
"geo","SC%2C USA","S[18]"
"gender","Female","S[18]"
"otherlg","","S[18]"
"language","English","S[18]"
"gender","Male","S[19]"
"age","40","S[19]"
"otherlg","","S[19]"
"language","English","S[19]"
"comp","PC","S[19]"
"geo","KS%2C United States","S[19]"
